,open,high,low,close,volume
2014-02-04,91.2,91.63,90.78,91.39,3427235
2014-02-05,91.02,91.44,90.39,91.25,3407334
2014-02-06,91.49,92.37,91.35,92.36,3237424
2014-02-07,92.94,93.61,92.53,93.55,3541428
2014-02-10,93.62,93.74,93.26,93.66,3419786
2014-02-11,93.99,94.95,93.82,94.73,4287872
2014-02-12,94.91,95.21,94.625,94.86,3128653
2014-02-13,94.145,95.5193,94.145,95.44,2726441
2014-02-14,95.4,96.05,95.22,95.9,2244504
2014-02-18,96.06,96.27,95.77,96.18,3006450
2014-02-19,95.97,96.5,95.44,95.54,2320600
2014-02-20,95.65,96.33,95.33,96.18,2657942
2014-02-21,96.39,96.53,96.0301,96.1,1952033
2014-02-24,96.38,97.27,96.31,96.65,2357611
2014-02-25,96.77,97.01,96.28,96.61,2427541
2014-02-26,96.83,97.1,96.45,96.71,1934625
2014-02-27,96.63,97.22,96.47,97.22,1593974
2014-02-28,97.17,97.86,96.74,97.4,2302777
2014-03-03,96.57,96.88,96.01,96.69,2743391
2014-03-04,97.93,98.35,97.642,98.21,3105445
2014-03-05,98.26,98.38,98.09,98.23,1855317
2014-03-06,98.54,98.65,98.265,98.41,2084504
2014-03-07,98.84,98.85,98.0,98.38,2312130
2014-03-10,98.32,98.396,97.73,98.31,2586580
2014-03-11,98.5,98.63,97.53,97.76,3718531
2014-03-12,97.36,97.86,97.03,97.83,2225616
2014-03-13,98.18,98.266,96.418,96.7,3482366
2014-03-14,96.51,97.07,96.4301,96.58,2892370
2014-03-17,97.09,97.658,97.06,97.35,2735794
2014-03-18,97.65,98.28,97.5,98.18,3673393
2014-03-19,98.21,98.28,97.0178,97.62,2705425
2014-03-20,97.39,98.1899,97.21,98.11,1466975
2014-03-21,98.57,98.6932,97.65,97.75,2821826
2014-03-24,98.11,98.2,96.7325,97.18,3922560
2014-03-25,97.2,97.58,96.59,97.1,1741203
2014-03-26,97.52,97.65,96.27,96.29,2895955
2014-03-27,96.09,96.5,95.69,96.09,3835139
2014-03-28,96.37,97.09,96.28,96.52,1533265
2014-03-31,97.1,97.58,97.05,97.47,2978396
2014-04-01,97.89,98.27,97.75,98.23,3882619
2014-04-02,98.46,98.66,98.18,98.54,2855341
2014-04-03,98.72,98.74,97.96,98.27,2169733
2014-04-04,98.84,98.85,96.77,96.92,3026946
2014-04-07,96.6,96.8099,95.48,95.76,5316174
2014-04-08,95.76,96.38,95.35,96.18,3728421
2014-04-09,96.5,97.33,96.2201,97.33,1976352
2014-04-10,97.3,97.35,95.03,95.19,3285368
2014-04-11,94.66,95.31,94.1,94.25,3380149
2014-04-14,95.02,95.2,94.12,94.89,3248568
2014-04-15,95.13,95.6,94.03,95.54,3339352
2014-04-16,96.21,96.55,95.75,96.54,4498548
2014-04-17,96.42,96.97,96.26,96.73,2241079
2014-04-21,96.78,97.12,96.57,97.12,3042964
2014-04-22,97.26,97.905,97.19,97.62,2442433
2014-04-23,97.62,97.68,97.3,97.37,1798403
2014-04-24,97.84,97.8993,96.96,97.5,1471378
2014-04-25,97.19,97.25,96.34,96.55,1927679
2014-04-28,96.9,97.22,95.65,96.69,2046041
2014-04-29,97.0,97.3,96.765,97.17,3062495
2014-04-30,97.17,97.5568,96.7601,97.53,1423873
2014-05-01,97.41,97.84,97.14,97.56,1776279
2014-05-02,97.59,98.03,97.35,97.48,1687944
2014-05-05,97.0,97.7,96.6599,97.64,1300868
2014-05-06,97.4,97.49,96.71,96.74,1335358
2014-05-07,97.03,97.21,96.16,97.19,1644124
2014-05-08,97.09,97.8,96.66,96.93,1863494
2014-05-09,96.93,97.17,96.5,97.17,1637463
2014-05-12,97.61,98.3,97.55,98.27,1847358
2014-05-13,98.4,98.57,98.14,98.21,1526629
2014-05-14,98.14,98.19,97.52,97.67,1387462
2014-05-15,97.36,97.4302,96.21,96.77,2149185
2014-05-16,96.92,97.19,96.43,97.18,1151766
2014-05-19,96.94,97.68,96.78,97.63,1209963
2014-05-20,97.52,97.62,96.62,96.9,1858833
2014-05-21,97.23,97.72,97.1,97.65,1286446
2014-05-22,97.69,98.19,97.53,97.98,962381
2014-05-23,98.1,98.51,98.01,98.49,1171891
2014-05-27,98.83,99.16,98.78,99.14,1458809
2014-05-28,99.16,99.26,98.8234,99.03,1383092
2014-05-29,99.26,99.56,99.0,99.56,1320144
2014-05-30,99.44,99.68,99.29,99.58,1444669
2014-06-02,99.8,99.84,99.16,99.7,2762567
2014-06-03,99.45,99.72,99.3162,99.66,941969
2014-06-04,99.38,99.97,99.33,99.87,1754136
2014-06-05,100.02,100.76,99.64,100.68,1797410
2014-06-06,100.99,101.25,100.85,101.2,1929381
2014-06-09,101.2,101.67,101.135,101.37,1683387
2014-06-10,101.21,101.35,100.98,101.35,1569781
2014-06-11,101.06,101.1175,100.7301,101.01,2068825
2014-06-12,100.88,100.93,100.06,100.29,2197374
2014-06-13,100.45,100.69,100.11,100.62,2099287
2014-06-16,100.45,100.89,100.31,100.7,2778042
2014-06-17,100.56,101.1957,100.46,101.06,1089769
2014-06-18,101.08,101.84,100.87,101.81,1326213
2014-06-19,101.9,102.0,101.53,101.93,2130674
2014-06-20,102.2,102.2,101.98,102.17,1952843
2014-06-23,102.19,102.25,101.945,102.14,1308572
2014-06-24,101.54,102.0699,100.91,101.009,1613472
2014-06-25,100.82,101.6,100.781,101.52,1379221
2014-06-26,101.53,101.53,100.76,101.46,1423897
2014-06-27,101.22,101.75,101.215,101.73,1378823
2014-06-30,101.55,101.91,101.55,101.77,1600811
2014-07-01,102.07,102.82,102.0,102.5,1818541
2014-07-02,102.53,102.63,102.36,102.44,1504485
2014-07-03,102.74,103.0,102.6649,102.98,987059
2014-07-07,102.8,102.81,102.31,102.44,2199762
2014-07-08,102.34,102.34,101.35,101.66,2130067
2014-07-09,101.91,102.16,101.65,102.1,1866593
2014-07-10,101.03,101.95,100.87,101.65,1564138
2014-07-11,101.63,101.79,101.3,101.74,1253044
2014-07-14,102.3,102.4143,102.16,102.23,1060690
2014-07-15,102.3,102.499,101.51,101.97,2591159
2014-07-16,102.36,102.4799,101.95,102.23,1933303
2014-07-17,101.88,102.28,100.9069,101.05,1980424
2014-07-18,101.34,102.24,101.295,102.14,996222
2014-07-21,101.83,102.38,101.45,101.9,1434685
2014-07-22,102.29,102.6301,102.242,102.42,1198262
2014-07-23,102.58,102.78,102.3699,102.66,736525
2014-07-24,102.84,102.92,102.57,102.68,925987
2014-07-25,102.37,102.42,101.931,102.14,1145682
2014-07-28,102.18,102.2757,101.511,102.11,1189382
2014-07-29,102.29,102.48,101.72,101.74,1090872
2014-07-30,102.12,102.26,101.38,101.81,1552957
2014-07-31,101.12,101.28,99.74,99.74,2939894
2014-08-01,99.55,100.14,98.96,99.49,5157387
2014-08-04,99.74,100.3752,99.21,100.17,3320072
2014-08-05,99.7,100.13,98.93,99.29,2856410
2014-08-06,98.82,99.7799,98.72,99.31,1763235
2014-08-07,99.82,99.88,98.56,98.79,3313662
2014-08-08,98.96,99.97,98.7699,99.93,1566847
2014-08-11,100.32,100.7435,100.22,100.29,1981877
2014-08-12,100.17,100.49,99.77,100.11,1375270
2014-08-13,100.52,100.8999,100.31,100.82,1208176
2014-08-14,100.93,101.26,100.87,101.26,1850375
2014-08-15,101.62,101.74,100.52,101.27,3760319
2014-08-18,101.86,102.22,101.73,102.18,2718599
2014-08-19,102.41,102.76,102.3,102.69,1896845
2014-08-20,102.5,103.03,102.42,102.93,2929799
2014-08-21,103.0,103.3066,102.81,103.16,1592271
2014-08-22,103.12,103.26,102.78,103.01,1746499
2014-08-25,104.39,104.44,103.7,103.85,1523948
2014-08-26,103.65,103.9595,103.61,103.74,1464906
2014-08-27,103.81,103.87,103.52,103.68,1154488
2014-08-28,103.28,103.65,103.19,103.57,1429743
2014-08-29,103.75,103.93,103.42,103.88,1736981
2014-09-02,104.04,104.269,103.56,103.96,1738410
2014-09-03,104.39,104.44,103.7,103.85,1523948
2014-09-04,104.01,104.389,103.37,103.63,1591152
2014-09-05,103.59,104.12,103.21,104.11,1490403
2014-09-08,103.97,104.16,103.5501,103.9,1416202
2014-09-09,103.77,103.84,102.99,103.17,1296103
2014-09-10,103.23,103.6,102.85,103.56,1290855
2014-09-11,103.15,103.76,103.09,103.75,1617325
2014-09-12,103.69,103.69,102.78,103.08,2477253
2014-09-15,103.1,103.24,102.56,102.81,3846239
2014-09-16,102.55,103.69,102.53,103.54,1242455
2014-09-17,103.7,104.16,103.19,103.65,2085218
2014-09-18,104.02,104.23,103.88,104.18,1829160
2014-09-19,104.59,104.59,103.74,103.98,1932966
2014-09-22,103.75,103.8,102.83,103.02,2333101
2014-09-23,102.75,103.0967,102.35,102.3566,1965294
2014-09-24,101.98,102.75,101.64,102.69,2364260
2014-09-25,102.43,102.52,101.05,101.08,3000939
2014-09-26,101.29,102.1,101.11,101.9,2227487
2014-09-29,101.02,101.84,100.9,101.72,2828096
2014-09-30,101.86,102.0,101.1257,101.24,2140592
2014-10-01,101.11,101.34,99.66,99.91,3990407
2014-10-02,99.86,100.31,98.81,99.96,3237540
2014-10-03,100.7,101.27,100.36,101.08,2303773
2014-10-06,101.57,101.6144,100.565,100.88,1758831
2014-10-07,100.39,100.57,99.29,99.32,2152221
2014-10-08,99.35,101.0699,98.74,100.97,3456211
2014-10-09,100.75,100.92,98.87,98.89,3023011
2014-10-10,98.85,99.34,97.65,97.66,3785416
2014-10-13,97.71,98.0099,96.03,96.1,5352591
2014-10-14,96.59,97.5,96.04,96.4,3914107
2014-10-15,95.19,96.21,93.58,95.86,8266780
2014-10-16,93.78,96.72,93.78,96.07,6327745
2014-10-17,97.44,97.799,96.67,97.12,3855146
2014-10-20,97.02,98.13,96.9341,98.09,2487778
2014-10-21,98.61,100.12,98.61,100.03,4004368
2014-10-22,100.3,100.48,99.2,99.25,3905820
2014-10-23,100.27,101.0799,100.04,100.45,4211561
2014-10-24,100.58,101.18,100.2,101.15,2899916
2014-10-27,100.85,101.105,100.35,101.01,2585921
2014-10-28,101.44,102.33,101.29,102.32,2848280
2014-10-29,102.46,102.68,101.45,102.17,2621164
2014-10-30,105.17,105.24,104.9,105.2,1178039
2014-10-31,104.0,104.2,103.53,104.02,3276341
2014-11-03,104.19,104.4599,103.83,104.08,3672517
2014-11-04,103.9,103.961,103.15,103.7,2584189
2014-11-05,104.5,104.51,103.82,104.19,2580373
2014-11-06,104.32,104.7,103.88,104.7,2096219
2014-11-07,104.71,104.8799,104.35,104.78,1746276
2014-11-10,104.88,105.1,104.69,105.1,2923502
2014-11-11,105.17,105.24,104.9,105.2,1178039
2014-11-12,104.81,105.3,104.74,105.18,1089817
2014-11-13,105.32,105.56,104.73,105.16,1671120
2014-11-14,105.23,105.325,104.94,105.17,2173866
2014-11-17,105.0,105.3,104.83,105.16,1449632
2014-11-18,105.24,105.97,105.22,105.78,1485999
2014-11-19,105.65,105.72,105.031,105.51,1771170
2014-11-20,105.07,105.834,104.94,105.81,1502527
2014-11-21,106.85,106.94,106.0601,106.37,3435550
2014-11-24,106.65,106.77,106.5,106.76,3990925
2014-11-25,106.92,107.069,106.5,106.74,2310741
2014-11-26,106.77,107.0,106.63,106.98,1178328
2014-11-28,106.95,107.01,106.48,106.6,944071
2014-12-01,106.5,106.55,105.53,105.7,2754667
2014-12-02,105.8,106.49,105.75,106.36,2450866
2014-12-03,106.44,106.99,106.38,106.84,3299494
2014-12-04,106.7,107.01,106.24,106.71,2417646
2014-12-05,106.86,107.169,106.696,106.95,3314663
2014-12-08,106.77,107.07,105.803,106.19,2070153
2014-12-09,105.04,106.33,104.82,106.25,3044080
2014-12-10,105.97,106.19,104.373,104.51,3507254
2014-12-11,104.93,105.991,104.76,104.99,3340104
2014-12-12,104.22,104.7499,103.33,103.34,3956618
2014-12-15,103.75,104.18,102.2368,102.59,4328145
2014-12-16,102.03,104.01,101.8,101.83,7528271
2014-12-17,102.25,104.21,102.01,104.01,4949023
2014-12-18,105.56,106.47,105.0299,106.47,6384417
2014-12-19,106.61,107.25,106.38,106.91,3575627
2014-12-22,106.66,106.78,106.28,106.77,5630224
2014-12-23,107.24,107.24,106.82,107.01,4050508
2014-12-24,107.35,107.35,107.02,107.04,1702637
2014-12-26,107.31,107.63,107.27,107.36,3293504
2014-12-29,107.36,107.705,107.29,107.59,3746681
2014-12-30,107.42,107.46,106.99,107.06,4472965
2014-12-31,107.19,107.39,105.98,106.0,2224372
2015-01-02,106.49,106.72,105.27,105.92,5298337
2015-01-05,105.35,105.55,103.86,104.1,5383515
2015-01-06,104.4,104.5,102.51,103.08,4226088
2015-01-07,104.09,104.45,103.55,104.31,3661477
2015-01-08,105.21,106.24,105.11,106.15,2796199
2015-01-09,106.32,106.35,104.92,105.27,3272516
2015-01-12,105.55,105.55,104.12,104.52,3705861
2015-01-13,105.33,106.0,103.43,104.28,2936211
2015-01-14,103.04,103.79,102.5,103.71,3291596
2015-01-15,104.05,104.26,102.57,102.66,5615205
2015-01-16,102.61,104.11,102.42,104.0199,2768919
2015-01-20,104.42,104.53,103.2,104.17,3186869
2015-01-21,103.93,104.95,103.6004,104.64,3119439
2015-01-22,105.24,106.31,104.27,106.23,3583462
2015-01-23,106.11,106.28,105.675,105.75,4571863
2015-01-26,105.75,106.22,105.2,106.19,4106519
2015-01-27,105.37,105.61,104.3601,104.95,2709263
2015-01-28,105.64,105.72,103.41,103.53,2830435
2015-01-29,103.7,104.6199,102.82,104.52,2607177
2015-01-30,103.67,104.51,102.95,103.1,4486875
2015-02-02,103.49,104.33,102.2549,104.26,4083160
2015-02-03,104.9,105.87,104.71,105.86,3321993
2015-02-04,105.44,106.14,105.24,105.49,3141740
2015-02-05,105.94,106.72,105.84,106.65,3163473
2015-02-06,106.88,107.175,106.0212,106.33,2844451
2015-02-09,105.99,106.35,105.59,105.8,1773849
2015-02-10,106.5,107.035,105.8428,106.88,1866282
2015-02-11,106.67,107.19,106.37,106.93,2184558
2015-02-12,107.47,107.99,107.27,107.96,4443350
2015-02-13,108.0,108.48,107.92,108.47,3147665
2015-02-17,108.37,108.76,108.13,108.64,4146990
2015-02-18,108.42,108.749,108.27,108.7,2542592
2015-02-19,108.39,108.88,108.2601,108.67,2349039
2015-02-20,108.47,109.3201,108.01,109.28,2402621
2015-02-23,109.17,109.27,108.86,109.27,3033984
2015-02-24,109.28,109.63,109.04,109.52,2856494
2015-02-25,109.49,109.78,109.26,109.48,2652084
2015-02-26,109.45,109.53,109.015,109.41,1741959
2015-02-27,109.35,109.48,108.97,109.02,1825415
2015-03-02,109.11,109.72,109.02,109.69,2681108
2015-03-03,109.47,109.61,108.74,109.24,2615721
2015-03-04,108.9,108.96,108.2,108.8,1949922
2015-03-05,109.03,109.1,108.63,108.97,1752506
2015-03-06,108.47,108.66,107.24,107.46,2798958
2015-03-09,107.6,108.05,107.5199,107.86,1827946
2015-03-10,107.0,107.1,106.21,106.22,3543754
2015-03-11,106.43,106.4938,105.98,106.14,3071330
2015-03-12,106.47,107.505,106.42,107.47,3907553
2015-03-13,107.37,107.3999,106.1699,106.87,2073039
2015-03-16,107.36,108.23,107.26,108.21,2706579
2015-03-17,107.8,108.185,107.47,108.0,1754034
2015-03-18,107.68,109.63,107.35,109.24,3662875
2015-03-19,109.03,109.1999,108.57,108.85,3901339
2015-03-20,109.49,110.02,109.37,109.76,1741058
2015-03-23,109.72,110.0853,109.57,109.57,2084196
2015-03-24,109.54,109.74,108.94,108.99,3398636
2015-03-25,108.64,108.75,106.79,106.79,2817019
2015-03-26,106.39,107.12,105.98,106.58,3164547
2015-03-27,106.6,106.9701,106.42,106.87,3297959
2015-03-30,107.59,108.39,107.52,108.23,1885808
2015-03-31,107.73,108.67,107.0,107.25,2077136
2015-04-01,107.34,107.41,106.385,107.05,11026362
2015-04-02,107.03,107.7,106.85,107.39,2041213
2015-04-06,107.27,108.41,106.785,108.13,2186632
2015-04-07,108.13,108.54,107.77,107.77,1983903
2015-04-08,108.0,108.43,107.72,108.23,2454253
2015-04-09,108.2,108.71,107.74,108.61,2214155
2015-04-10,108.87,109.149,108.64,109.12,2406098
2015-04-13,109.04,109.425,108.66,108.69,3524844
2015-04-14,108.66,108.978,108.1562,108.85,1460817
2015-04-15,109.24,109.69,109.08,109.4,1512359
2015-04-16,109.23,109.6301,109.06,109.35,1490204
2015-04-17,108.7,108.8,107.606,108.08,2656981
2015-04-20,108.67,109.18,108.62,108.96,2005044
2015-04-21,109.45,109.52,108.75,108.93,3909936
2015-04-22,109.08,109.5,108.53,109.39,1469299
2015-04-23,109.14,110.08,109.1001,109.73,2340746
2015-04-24,109.92,110.0,109.6199,109.85,1775126
2015-04-27,110.19,110.28,109.17,109.28,1827756
2015-04-28,109.54,109.6543,108.495,109.57,2595002
2015-04-29,109.01,109.46,108.63,109.09,2432015
2015-04-30,108.78,108.9205,107.4654,107.91,3635879
2015-05-01,108.4,108.98,108.23,108.9,3924710
2015-05-04,109.24,109.66,109.12,109.28,1713296
2015-05-05,109.17,109.36,107.88,107.98,1692723
2015-05-06,108.38,108.54,107.01,107.68,3691661
2015-05-07,107.6,108.365,107.38,108.09,2363484
2015-05-08,109.11,109.59,109.08,109.45,1796447
2015-05-11,109.33,109.59,108.93,108.99,1656946
2015-05-12,108.48,109.005,107.93,108.67,1657497
2015-05-13,108.97,109.3,108.58,108.73,2424476
2015-05-14,109.33,109.85,109.1,109.81,1579239
2015-05-15,109.88,109.99,109.6,109.94,1862709
2015-05-18,109.81,110.5,109.75,110.35,2769075
2015-05-19,110.38,110.56,110.12,110.3,2844996
2015-05-20,110.34,110.68,110.03,110.23,2478426
2015-05-21,110.18,110.66,110.0701,110.51,1476431
2015-05-22,110.38,110.5549,110.2199,110.3,1187856
2015-05-26,110.02,110.02,108.865,109.15,2226684
2015-05-27,109.45,110.28,109.2,110.15,2562163
2015-05-28,109.97,110.08,109.57,110.05,2022404
2015-05-29,109.99,110.02,109.18,109.31,1943247
2015-06-01,109.8,109.96,109.06,109.58,2354945
2015-06-02,109.25,109.93,108.95,109.5,1925339
2015-06-03,109.78,110.22,109.53,109.88,1731329
2015-06-04,109.5,109.8,108.7701,109.0,1845802
2015-06-05,108.91,109.2,108.33,108.91,3342744
2015-06-08,108.88,108.96,108.18,108.24,2990676
2015-06-09,108.25,108.48,107.731,108.15,2976533
2015-06-10,108.7,109.66,108.59,109.47,1592645
2015-06-11,109.71,110.01,109.58,109.78,1850526
2015-06-12,109.28,109.5,108.88,109.06,1490940
2015-06-15,108.28,108.76,107.87,108.56,2865500
2015-06-16,108.45,109.25,108.4,109.16,2604836
2015-06-17,109.33,109.69,108.74,109.34,1911670
2015-06-18,109.58,110.76,109.58,110.42,2496324
2015-06-19,110.39,110.42,109.86,109.94,1735909
2015-06-22,110.68,110.9,110.45,110.61,1864810
2015-06-23,110.73,110.85,110.46,110.72,3080410
2015-06-24,110.56,110.71,109.86,109.88,4931195
2015-06-25,110.2,110.24,109.45,109.54,2110771
2015-06-26,109.29,109.39,108.65,109.01,1503910
2015-06-29,108.03,108.5,106.65,106.73,3642695
2015-06-30,107.62,107.6499,106.68,107.02,3394044
2015-07-01,108.02,108.11,107.28,107.72,12016305
2015-07-02,108.05,108.199,107.345,107.58,3139960
2015-07-06,106.99,107.79,106.62,107.3,2570835
2015-07-07,107.44,108.0,105.9299,107.89,3329559
2015-07-08,107.1,107.28,105.91,106.09,2938858
2015-07-09,107.15,107.69,106.27,106.31,3064823
2015-07-10,107.58,107.84,107.1,107.6,3432352
2015-07-13,108.58,108.885,108.38,108.82,2835289
2015-07-14,108.8,109.5,108.59,109.31,2292470
2015-07-15,109.37,109.56,108.91,109.17,2555651
2015-07-16,109.85,109.95,109.65,109.93,1314002
2015-07-17,109.99,110.0,109.65,109.96,1295372
2015-07-20,110.05,110.21,109.7763,109.97,1338976
2015-07-21,109.88,110.04,109.3,109.49,1661039
2015-07-22,109.1,109.5,109.0,109.33,1852371
2015-07-23,109.47,109.53,108.517,108.7,1569545
2015-07-24,108.75,108.83,107.389,107.56,2073472
2015-07-27,107.06,107.46,106.6,106.85,2958428
2015-07-28,107.16,108.2252,106.7814,108.12,2198632
2015-07-29,108.18,108.98,108.06,108.86,1624215
2015-07-30,108.57,109.04,108.17,108.95,1390381
2015-07-31,109.31,109.34,108.7,108.84,2422731
2015-08-03,108.99,108.99,107.89,108.45,2654615
2015-08-04,108.45,108.75,108.0,108.27,1600020
2015-08-05,108.84,109.34,108.455,108.63,1253644
2015-08-06,108.92,108.92,107.24,107.74,1969453
2015-08-07,107.62,107.7,106.8863,107.43,3295124
2015-08-10,108.08,108.85,108.05,108.77,1981326
2015-08-11,108.0,108.2299,107.3699,107.79,1833141
2015-08-12,107.01,108.03,106.09,107.9,2611345
2015-08-13,107.91,108.235,107.44,107.75,3545402
2015-08-14,107.7,108.23,107.5397,108.16,1154508
2015-08-17,107.89,108.86,107.5101,108.85,1739109
2015-08-18,108.78,108.8949,108.3742,108.57,2694955
2015-08-19,108.05,108.45,107.08,107.6,2183231
2015-08-20,106.8,107.0,105.25,105.26,4377939
2015-08-21,104.32,104.74,102.18,102.23,9877628
2015-08-24,96.4,101.27,93.0,98.12,18137015
2015-08-25,101.41,101.72,96.87,96.95,9215862
2015-08-26,99.99,100.58,97.3926,100.47,8299079
2015-08-27,101.97,103.05,100.92,102.9,8779297
2015-08-28,102.59,103.32,102.37,102.98,5165601
2015-08-31,102.53,103.01,101.95,102.21,4526301
2015-09-01,99.95,100.83,98.75,99.21,9264707
2015-09-02,100.78,101.08,99.55,101.08,7680958
2015-09-03,101.58,102.44,100.9,101.2,5151309
2015-09-04,99.92,100.405,99.2643,99.76,4317822
2015-09-08,101.59,102.32,101.06,102.28,3342020
2015-09-09,103.24,103.4,100.69,100.88,3691164
2015-09-10,100.88,102.07,100.63,101.4,3695957
2015-09-11,101.04,101.88,100.7,101.86,2007923
2015-09-14,101.91,101.91,101.2,101.47,3711098
2015-09-15,101.81,102.9699,101.53,102.75,2388293
2015-09-16,102.87,103.73,102.6974,103.62,2447541
2015-09-17,103.64,105.0202,103.24,103.48,4726610
2015-09-18,102.05,102.89,101.585,101.84,3271785
2015-09-21,102.42,103.02,101.6701,102.25,2680261
2015-09-22,101.0,101.2436,100.21,100.88,3034019
2015-09-23,101.04,101.2785,100.34,100.68,1788923
2015-09-24,100.02,100.5329,99.1,100.32,3723369
2015-09-25,100.76,100.87,99.07,99.61,4937826
2015-09-28,99.06,99.13,96.8,96.94,5606436
2015-09-29,97.23,97.84,96.37,96.92,4548628
2015-09-30,98.11,98.79,97.5501,98.72,3747848
2015-10-01,98.96,99.1178,97.71,98.92,3808754
2015-10-02,97.96,100.37,97.3801,100.36,3654495
2015-10-05,101.1,102.36,101.04,102.21,3405842
2015-10-06,102.21,102.46,101.38,101.88,2463143
2015-10-07,102.44,102.88,101.7,102.8,2583923
2015-10-08,102.53,103.8788,102.38,103.69,2521034
2015-10-09,103.8,104.06,103.43,103.83,1649477
2015-10-12,103.85,103.95,103.51,103.85,1680112
2015-10-13,103.29,104.17,102.99,103.09,2221030
2015-10-14,103.05,103.44,102.38,102.56,1902908
2015-10-15,102.92,104.12,102.63,104.11,2218205
2015-10-16,104.37,104.54,103.8539,104.51,1902066
2015-10-19,104.3,104.67,103.974,104.63,1457904
2015-10-20,104.39,104.91,104.19,104.51,1806066
2015-10-21,104.71,104.8645,103.59,103.69,1777795
2015-10-22,104.28,105.43,104.1175,105.21,1979172
2015-10-23,106.13,106.47,105.67,106.31,2404344
2015-10-26,106.26,106.3,105.846,106.06,3078292
2015-10-27,105.83,105.94,105.26,105.71,1685997
2015-10-28,105.94,107.12,105.62,107.1,2421690
2015-10-29,106.72,107.18,106.68,106.94,2666889
2015-10-30,107.14,107.28,106.5,106.53,2203173
2015-11-02,106.78,108.0,106.68,107.93,3396368
2015-11-03,107.71,108.57,107.55,108.2,3100772
2015-11-04,108.51,108.53,107.5701,107.94,2893622
2015-11-05,108.04,108.23,107.21,107.82,2143958
2015-11-06,107.57,107.85,106.92,107.84,2078927
2015-11-09,107.9,107.9,106.2,106.76,2620785
2015-11-10,106.46,107.04,106.29,107.0,1605411
2015-11-11,107.27,107.27,106.53,106.54,1342225
2015-11-12,105.97,106.16,104.95,104.95,3110403
2015-11-13,104.76,104.88,103.81,103.84,3003691
2015-11-16,103.8,105.36,103.69,105.35,2635433
2015-11-17,105.51,106.09,104.97,105.22,2243298
2015-11-18,105.58,107.0,105.54,106.9,2106094
2015-11-19,106.91,107.08,106.62,106.76,1623479
2015-11-20,107.23,107.6,106.98,107.22,1563642
2015-11-23,107.23,107.59,106.88,107.11,3145011
2015-11-24,106.57,107.59,106.314,107.39,2032854
2015-11-25,107.51,107.66,107.2453,107.47,1820310
2015-11-27,107.59,107.76,107.22,107.63,552449
2015-11-30,107.78,107.85,107.11,107.17,3618076
2015-12-01,107.59,108.21,107.37,108.18,2444590
2015-12-02,108.1,108.265,106.88,107.05,2937734
2015-12-03,107.29,107.48,105.06,105.45,3345637
2015-12-04,105.81,107.54,105.62,107.39,4520885
2015-12-07,107.23,107.27,106.06,106.55,3000773
2015-12-08,105.94,106.4,105.27,105.91,3149595
2015-12-09,105.55,106.75,104.48,105.0,4180200
2015-12-10,105.18,106.06,104.92,105.31,3685071
2015-12-11,104.17,104.43,103.07,103.24,5100742
2015-12-14,103.36,103.72,102.18,103.61,7237788
2015-12-15,104.44,105.19,104.36,104.72,2918125
2015-12-16,105.46,106.4182,104.7,106.24,5972417
2015-12-17,106.44,106.47,104.68,104.68,4939856
2015-12-18,104.17,104.36,102.9,102.9,4207675
2015-12-21,103.19,103.28,102.37,103.13,3240650
2015-12-22,103.65,104.2599,103.04,104.06,2876558
2015-12-23,104.63,105.4,104.51,105.36,3342450
2015-12-24,105.22,105.6,105.08,105.23,1460512
2015-12-28,104.88,105.0,104.32,105.0,3479620
2015-12-29,105.69,106.24,105.54,106.12,2508257
2015-12-30,105.96,106.0,105.25,105.32,2406101
2015-12-31,104.93,105.3158,104.3,104.3,3652676
2016-01-04,102.58,102.95,101.58,102.74,6138266
2016-01-05,102.9,103.18,102.3,102.97,3652342
2016-01-06,101.53,102.23,100.95,101.59,3732756
2016-01-07,99.9,100.8,98.87,99.1,9256180
2016-01-08,99.61,99.99,97.78,97.97,7015831
2016-01-11,98.55,98.6699,96.78,97.91,6863777
2016-01-12,98.8,99.169,97.28,98.58,4457335
2016-01-13,99.0,99.2,95.78,96.04,6163017
2016-01-14,96.36,98.18,95.3301,97.51,5085101
2016-01-15,95.05,95.8757,94.2214,95.46,8101664
2016-01-19,96.57,96.67,94.5,95.36,7435664
2016-01-20,94.0,95.27,91.79,94.42,13845346
2016-01-21,94.7,95.9641,93.82,94.79,7169464
2016-01-22,96.33,96.89,95.95,96.81,3701497
2016-01-25,96.64,96.65,95.11,95.22,4470453
2016-01-26,95.6,96.82,95.44,96.67,3333445
2016-01-27,96.4,97.32,95.05,95.57,5202433
2016-01-28,96.56,96.66,95.05,95.95,4540660
2016-01-29,96.45,98.36,96.3527,98.33,5005410
2016-02-01,97.75,98.81,97.37,98.35,3869089
2016-02-02,97.5,97.55,96.16,96.45,3279550
2016-02-03,97.09,97.2889,94.89,97.03,5457594
2016-02-04,96.79,97.92,96.47,97.26,3431865
2016-02-05,96.94,96.9999,94.95,95.26,3993569
2016-02-08,94.2,94.38,92.5,93.78,6303904
2016-02-09,92.84,94.47,92.7,93.66,4793969
2016-02-10,94.19,95.27,93.6248,93.72,3580039
2016-02-11,92.39,93.0623,91.58,92.56,7239662
2016-02-12,93.47,94.38,93.01,94.36,2948064
2016-02-16,95.62,96.09,94.96,96.08,3577722
2016-02-17,96.77,97.93,96.59,97.67,3634955
